80.0,3,40,60	58.0,3,40,60	64.0,3,40,60	62.0,3,40,60	46.0,3,40,60	45.0,3,40,60	43.0,3,40,60	48.0,3,40,60	47.0,3,40,60	58.0,3,40,60	23.0,3,40,60	31.0,3,40,60	20.0,3,40,60	60.0,3,40,60	58.0,3,40,60	67.0,3,40,60	58.0,3,40,60	44.0,3,40,60	41.0,3,40,60	67.0,3,40,60	97.0,3,40,60	82.0,3,40,60	85.0,3,40,60	94.0,3,40,60	78.0,3,40,60	66.0,3,40,60	76.0,3,40,60	62.0,3,40,60	55.0,3,40,60	56.0,3,40,60	47.0,3,40,60	55.0,3,40,60	74.0,3,40,60	108.0,3,39,60	90.0,3,40,60	105.0,3,39,60	98.0,3,40,60	77.0,3,40,60	38.0,3,40,60	7.0,3,40,60	46.0,3,40,60	96.0,3,40,60	58.0,3,40,60	44.0,3,40,60	41.0,3,40,60	34.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
86.0,3,40,60	74.0,3,40,60	73.0,3,40,60	57.0,3,40,60	41.0,3,40,60	58.0,3,40,60	46.0,3,40,60	48.0,3,40,60	32.0,3,40,60	21.0,3,40,60	24.0,3,40,60	29.0,3,40,60	20.0,3,40,60	24.0,3,40,60	22.0,3,40,60	23.0,3,40,60	36.0,3,40,60	27.0,3,40,60	37.0,3,40,60	48.0,3,40,60	43.0,3,40,60	48.0,3,40,60	33.0,3,40,60	45.0,3,40,60	83.0,3,40,60	76.0,3,40,60	70.0,3,40,60	49.0,3,40,60	43.0,3,40,60	4.0,3,40,60	55.0,3,40,60	25.0,3,40,60	71.0,3,40,60	103.0,3,39,60	98.0,3,40,60	101.0,3,39,60	94.0,3,40,60	86.0,3,40,60	21.0,3,40,60	0.0,3,40,60	49.0,3,40,60	1.0,3,40,60	64.0,3,40,60	35.0,3,40,60	-1.0,3,40,60	0.0,3,40,60	41.0,3,40,60	47.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
60.0,3,40,60	89.0,3,40,60	78.0,3,40,60	68.0,3,40,60	56.0,3,40,60	69.0,3,40,60	58.0,3,40,60	47.0,3,40,60	34.0,3,40,60	29.0,3,40,60	34.0,3,40,60	26.0,3,40,60	7.0,3,40,60	18.0,3,40,60	20.0,3,40,60	11.0,3,40,60	21.0,3,40,60	25.0,3,40,60	25.0,3,40,60	38.0,3,40,60	20.0,3,40,60	14.0,3,40,60	20.0,3,40,60	17.0,3,40,60	45.0,3,40,60	44.0,3,40,60	44.0,3,40,60	58.0,3,40,60	48.0,3,40,60	43.0,3,40,60	42.0,3,40,60	58.0,3,40,60	85.0,3,40,60	83.0,3,40,60	84.0,3,40,60	78.0,3,40,60	67.0,3,40,60	94.0,3,40,60	67.0,3,40,60	19.0,3,40,60	63.0,3,40,60	15.0,3,40,60	0.0,3,40,60	82.0,3,40,60	21.0,3,40,60	0.0,3,40,60	29.0,3,40,60	96.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
57.0,3,40,60	56.0,3,40,60	95.0,3,40,60	95.0,3,40,60	77.0,3,40,60	58.0,3,40,60	66.0,3,40,60	51.0,3,40,60	34.0,3,40,60	39.0,3,40,60	42.0,3,40,60	33.0,3,40,60	35.0,3,40,60	16.0,3,40,60	5.0,3,40,60	6.0,3,40,60	6.0,3,40,60	9.0,3,40,60	22.0,3,40,60	22.0,3,40,60	0.0,3,40,60	8.0,3,40,60	8.0,3,40,60	16.0,3,40,60	47.0,3,40,60	44.0,3,40,60	55.0,3,40,60	34.0,3,40,60	41.0,3,40,60	40.0,3,40,60	15.0,3,40,60	62.0,3,40,60	57.0,3,40,60	60.0,3,40,60	100.0,3,39,60	72.0,3,40,60	70.0,3,40,60	90.0,3,40,60	28.0,3,40,60	43.0,3,40,60	74.0,3,40,60	67.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	25.0,3,40,60	79.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
51.0,3,40,60	45.0,3,40,60	62.0,3,40,60	59.0,3,40,60	67.0,3,40,60	71.0,3,40,60	61.0,3,40,60	48.0,3,40,60	32.0,3,40,60	38.0,3,40,60	43.0,3,40,60	42.0,3,40,60	12.0,3,40,60	10.0,3,40,60	7.0,3,40,60	8.0,3,40,60	11.0,3,40,60	8.0,3,40,60	9.0,3,40,60	10.0,3,40,60	11.0,3,40,60	3.0,3,40,60	16.0,3,40,60	0.0,3,40,60	17.0,3,40,60	12.0,3,40,60	23.0,3,40,60	46.0,3,40,60	52.0,3,40,60	0.0,3,40,60	41.0,3,40,60	16.0,3,40,60	32.0,3,40,60	44.0,3,40,60	71.0,3,40,60	81.0,3,40,60	87.0,3,40,60	85.0,3,40,60	70.0,3,40,60	88.0,3,40,60	81.0,3,40,60	55.0,3,40,60	3.0,3,40,60	36.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
39.0,3,40,60	38.0,3,40,60	31.0,3,40,60	39.0,3,40,60	45.0,3,40,60	42.0,3,40,60	50.0,3,40,60	59.0,3,40,60	51.0,3,40,60	33.0,3,40,60	27.0,3,40,60	21.0,3,40,60	34.0,3,40,60	11.0,3,40,60	10.0,3,40,60	5.0,3,40,60	12.0,3,40,60	3.0,3,40,60	19.0,3,40,60	5.0,3,40,60	5.0,3,40,60	0.0,3,40,60	20.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	33.0,3,40,60	13.0,3,40,60	9.0,3,40,60	31.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	13.0,3,40,60	60.0,3,40,60	91.0,3,40,60	17.0,3,40,60	66.0,3,40,60	50.0,3,40,60	59.0,3,40,60	101.0,3,39,60	77.0,3,40,60	0.0,3,40,60	0.0,3,40,60	7.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
51.0,3,40,60	56.0,3,40,60	37.0,3,40,60	30.0,3,40,60	26.0,3,40,60	25.0,3,40,60	31.0,3,40,60	30.0,3,40,60	51.0,3,40,60	42.0,3,40,60	39.0,3,40,60	17.0,3,40,60	27.0,3,40,60	14.0,3,40,60	11.0,3,40,60	18.0,3,40,60	27.0,3,40,60	15.0,3,40,60	8.0,3,40,60	27.0,3,40,60	24.0,3,40,60	6.0,3,40,60	18.0,3,40,60	18.0,3,40,60	6.0,3,40,60	8.0,3,40,60	0.0,3,40,60	17.0,3,40,60	0.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	35.0,3,40,60	20.0,3,40,60	0.0,3,40,60	18.0,3,40,60	0.0,3,40,60	3.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
50.0,3,40,60	48.0,3,40,60	43.0,3,40,60	45.0,3,40,60	34.0,3,40,60	25.0,3,40,60	19.0,3,40,60	17.0,3,40,60	22.0,3,40,60	35.0,3,40,60	32.0,3,40,60	32.0,3,40,60	30.0,3,40,60	19.0,3,40,60	8.0,3,40,60	39.0,3,40,60	21.0,3,40,60	23.0,3,40,60	12.0,3,40,60	19.0,3,40,60	7.0,3,40,60	7.0,3,40,60	21.0,3,40,60	19.0,3,40,60	12.0,3,40,60	6.0,3,40,60	0.0,3,40,60	11.0,3,40,60	16.0,3,40,60	9.0,3,40,60	37.0,3,40,60	12.0,3,40,60	24.0,3,40,60	27.0,3,40,60	2.0,3,40,60	0.0,3,40,60	5.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	25.0,3,40,60	68.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
32.0,3,40,60	37.0,3,40,60	44.0,3,40,60	39.0,3,40,60	30.0,3,40,60	29.0,3,40,60	21.0,3,40,60	15.0,3,40,60	17.0,3,40,60	22.0,3,40,60	37.0,3,40,60	49.0,3,40,60	36.0,3,40,60	26.0,3,40,60	16.0,3,40,60	37.0,3,40,60	21.0,3,40,60	22.0,3,40,60	25.0,3,40,60	26.0,3,40,60	15.0,3,40,60	19.0,3,40,60	15.0,3,40,60	35.0,3,40,60	19.0,3,40,60	3.0,3,40,60	0.0,3,40,60	4.0,3,40,60	20.0,3,40,60	4.0,3,40,60	0.0,3,40,60	12.0,3,40,60	39.0,3,40,60	7.0,3,40,60	0.0,3,40,60	0.0,3,40,60	82.0,3,40,60	31.0,3,40,60	4.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	54.0,3,40,60	57.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
34.0,3,40,60	29.0,3,40,60	23.0,3,40,60	23.0,3,40,60	27.0,3,40,60	21.0,3,40,60	13.0,3,40,60	13.0,3,40,60	12.0,3,40,60	19.0,3,40,60	36.0,3,40,60	50.0,3,40,60	30.0,3,40,60	21.0,3,40,60	20.0,3,40,60	30.0,3,40,60	22.0,3,40,60	31.0,3,40,60	34.0,3,40,60	28.0,3,40,60	20.0,3,40,60	28.0,3,40,60	26.0,3,40,60	20.0,3,40,60	27.0,3,40,60	13.0,3,40,60	9.0,3,40,60	19.0,3,40,60	6.0,3,40,60	21.0,3,40,60	33.0,3,40,60	27.0,3,40,60	7.0,3,40,60	16.0,3,40,60	0.0,3,40,60	32.0,3,40,60	52.0,3,40,60	31.0,3,40,60	22.0,3,40,60	21.0,3,40,60	60.0,3,40,60	8.0,3,40,60	11.0,3,40,60	8.0,3,40,60	14.0,3,40,60	85.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
30.0,3,40,60	28.0,3,40,60	21.0,3,40,60	18.0,3,40,60	11.0,3,40,60	10.0,3,40,60	11.0,3,40,60	9.0,3,40,60	20.0,3,40,60	20.0,3,40,60	21.0,3,40,60	36.0,3,40,60	42.0,3,40,60	22.0,3,40,60	22.0,3,40,60	43.0,3,40,60	38.0,3,40,60	47.0,3,40,60	50.0,3,40,60	31.0,3,40,60	21.0,3,40,60	43.0,3,40,60	39.0,3,40,60	33.0,3,40,60	37.0,3,40,60	21.0,3,40,60	16.0,3,40,60	24.0,3,40,60	19.0,3,40,60	6.0,3,40,60	24.0,3,40,60	30.0,3,40,60	29.0,3,40,60	12.0,3,40,60	27.0,3,40,60	24.0,3,40,60	24.0,3,40,60	50.0,3,40,60	35.0,3,40,60	18.0,3,40,60	65.0,3,40,60	11.0,3,40,60	89.0,3,40,60	15.0,3,40,60	13.0,3,40,60	74.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
44.0,3,40,60	29.0,3,40,60	43.0,3,40,60	18.0,3,40,60	16.0,3,40,60	15.0,3,40,60	8.0,3,40,60	9.0,3,40,60	18.0,3,40,60	32.0,3,40,60	25.0,3,40,60	26.0,3,40,60	37.0,3,40,60	41.0,3,40,60	24.0,3,40,60	51.0,3,40,60	54.0,3,40,60	37.0,3,40,60	35.0,3,40,60	33.0,3,40,60	31.0,3,40,60	19.0,3,40,60	29.0,3,40,60	30.0,3,40,60	51.0,3,40,60	25.0,3,40,60	21.0,3,40,60	36.0,3,40,60	36.0,3,40,60	8.0,3,40,60	44.0,3,40,60	34.0,3,40,60	16.0,3,40,60	38.0,3,40,60	40.0,3,40,60	21.0,3,40,60	33.0,3,40,60	49.0,3,40,60	44.0,3,40,60	71.0,3,40,60	75.0,3,40,60	44.0,3,40,60	80.0,3,40,60	48.0,3,40,60	23.0,3,40,60	19.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
39.0,3,40,60	43.0,3,40,60	32.0,3,40,60	37.0,3,40,60	22.0,3,40,60	27.0,3,40,60	12.0,3,40,60	9.0,3,40,60	7.0,3,40,60	30.0,3,40,60	27.0,3,40,60	35.0,3,40,60	40.0,3,40,60	38.0,3,40,60	30.0,3,40,60	63.0,3,40,60	45.0,3,40,60	51.0,3,40,60	43.0,3,40,60	43.0,3,40,60	27.0,3,40,60	16.0,3,40,60	15.0,3,40,60	15.0,3,40,60	15.0,3,40,60	28.0,3,40,60	41.0,3,40,60	53.0,3,40,60	30.0,3,40,60	29.0,3,40,60	51.0,3,40,60	37.0,3,40,60	29.0,3,40,60	42.0,3,40,60	22.0,3,40,60	21.0,3,40,60	41.0,3,40,60	43.0,3,40,60	46.0,3,40,60	47.0,3,40,60	47.0,3,40,60	61.0,3,40,60	110.0,3,39,60	71.0,3,40,60	51.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
50.0,3,40,60	30.0,3,40,60	10.0,3,40,60	6.0,3,40,60	7.0,3,40,60	10.0,3,40,60	1.0,3,40,60	5.0,3,40,60	8.0,3,40,60	4.0,3,40,60	13.0,3,40,60	43.0,3,40,60	47.0,3,40,60	58.0,3,40,60	43.0,3,40,60	55.0,3,40,60	62.0,3,40,60	56.0,3,40,60	39.0,3,40,60	41.0,3,40,60	27.0,3,40,60	24.0,3,40,60	22.0,3,40,60	13.0,3,40,60	10.0,3,40,60	5.0,3,40,60	19.0,3,40,60	50.0,3,40,60	38.0,3,40,60	37.0,3,40,60	15.0,3,40,60	10.0,3,40,60	11.0,3,40,60	23.0,3,40,60	11.0,3,40,60	15.0,3,40,60	23.0,3,40,60	28.0,3,40,60	55.0,3,40,60	31.0,3,40,60	47.0,3,40,60	56.0,3,40,60	79.0,3,40,60	71.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
22.0,3,40,60	13.0,3,40,60	16.0,3,40,60	13.0,3,40,60	14.0,3,40,60	16.0,3,40,60	4.0,3,40,60	8.0,3,40,60	7.0,3,40,60	15.0,3,40,60	14.0,3,40,60	33.0,3,40,60	37.0,3,40,60	56.0,3,40,60	69.0,3,40,60	29.0,3,40,60	32.0,3,40,60	44.0,3,40,60	54.0,3,40,60	39.0,3,40,60	24.0,3,40,60	39.0,3,40,60	20.0,3,40,60	20.0,3,40,60	33.0,3,40,60	16.0,3,40,60	10.0,3,40,60	13.0,3,40,60	-1.0,3,40,60	24.0,3,40,60	8.0,3,40,60	5.0,3,40,60	9.0,3,40,60	15.0,3,40,60	4.0,3,40,60	14.0,3,40,60	22.0,3,40,60	29.0,3,40,60	37.0,3,40,60	31.0,3,40,60	68.0,3,40,60	68.0,3,40,60	49.0,3,40,60	33.0,3,40,60	3.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
15.0,3,40,60	25.0,3,40,60	16.0,3,40,60	25.0,3,40,60	14.0,3,40,60	8.0,3,40,60	10.0,3,40,60	9.0,3,40,60	8.0,3,40,60	6.0,3,40,60	3.0,3,40,60	8.0,3,40,60	26.0,3,40,60	46.0,3,40,60	34.0,3,40,60	19.0,3,40,60	23.0,3,40,60	28.0,3,40,60	46.0,3,40,60	27.0,3,40,60	42.0,3,40,60	46.0,3,40,60	41.0,3,40,60	47.0,3,40,60	30.0,3,40,60	21.0,3,40,60	42.0,3,40,60	35.0,3,40,60	14.0,3,40,60	0.0,3,40,60	0.0,3,40,60	21.0,3,40,60	5.0,3,40,60	5.0,3,40,60	9.0,3,40,60	13.0,3,40,60	19.0,3,40,60	24.0,3,40,60	23.0,3,40,60	36.0,3,40,60	49.0,3,40,60	77.0,3,40,60	25.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
28.0,3,40,60	20.0,3,40,60	31.0,3,40,60	12.0,3,40,60	11.0,3,40,60	13.0,3,40,60	19.0,3,40,60	17.0,3,40,60	4.0,3,40,60	8.0,3,40,60	2.0,3,40,60	8.0,3,40,60	11.0,3,40,60	24.0,3,40,60	36.0,3,40,60	27.0,3,40,60	10.0,3,40,60	10.0,3,40,60	20.0,3,40,60	50.0,3,40,60	38.0,3,40,60	51.0,3,40,60	37.0,3,40,60	43.0,3,40,60	38.0,3,40,60	47.0,3,40,60	40.0,3,40,60	18.0,3,40,60	4.0,3,40,60	7.0,3,40,60	5.0,3,40,60	-1.0,3,40,60	6.0,3,40,60	8.0,3,40,60	11.0,3,40,60	10.0,3,40,60	12.0,3,40,60	22.0,3,40,60	20.0,3,40,60	22.0,3,40,60	33.0,3,40,60	34.0,3,40,60	52.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
30.0,3,40,60	29.0,3,40,60	26.0,3,40,60	11.0,3,40,60	11.0,3,40,60	7.0,3,40,60	27.0,3,40,60	5.0,3,40,60	9.0,3,40,60	12.0,3,40,60	10.0,3,40,60	28.0,3,40,60	11.0,3,40,60	15.0,3,40,60	31.0,3,40,60	17.0,3,40,60	17.0,3,40,60	9.0,3,40,60	10.0,3,40,60	25.0,3,40,60	46.0,3,40,60	40.0,3,40,60	32.0,3,40,60	35.0,3,40,60	15.0,3,40,60	26.0,3,40,60	40.0,3,40,60	24.0,3,40,60	37.0,3,40,60	35.0,3,40,60	5.0,3,40,60	5.0,3,40,60	11.0,3,40,60	-1.0,3,40,60	2.0,3,40,60	5.0,3,40,60	9.0,3,40,60	18.0,3,40,60	26.0,3,40,60	23.0,3,40,60	33.0,3,40,60	42.0,3,40,60	67.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
44.0,3,40,60	40.0,3,40,60	19.0,3,40,60	17.0,3,40,60	12.0,3,40,60	16.0,3,40,60	23.0,3,40,60	11.0,3,40,60	9.0,3,40,60	7.0,3,40,60	5.0,3,40,60	10.0,3,40,60	12.0,3,40,60	18.0,3,40,60	30.0,3,40,60	9.0,3,40,60	4.0,3,40,60	9.0,3,40,60	19.0,3,40,60	29.0,3,40,60	43.0,3,40,60	52.0,3,40,60	24.0,3,40,60	35.0,3,40,60	41.0,3,40,60	40.0,3,40,60	47.0,3,40,60	54.0,3,40,60	32.0,3,40,60	16.0,3,40,60	4.0,3,40,60	6.0,3,40,60	3.0,3,40,60	11.0,3,40,60	4.0,3,40,60	7.0,3,40,60	11.0,3,40,60	10.0,3,40,60	19.0,3,40,60	22.0,3,40,60	25.0,3,40,60	18.0,3,40,60	8.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
41.0,3,40,60	26.0,3,40,60	18.0,3,40,60	19.0,3,40,60	18.0,3,40,60	19.0,3,40,60	21.0,3,40,60	7.0,3,40,60	9.0,3,40,60	6.0,3,40,60	0.0,3,40,60	14.0,3,40,60	26.0,3,40,60	22.0,3,40,60	13.0,3,40,60	28.0,3,40,60	18.0,3,40,60	22.0,3,40,60	26.0,3,40,60	55.0,3,40,60	42.0,3,40,60	42.0,3,40,60	43.0,3,40,60	50.0,3,40,60	53.0,3,40,60	51.0,3,40,60	51.0,3,40,60	39.0,3,40,60	11.0,3,40,60	7.0,3,40,60	7.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	-2.0,3,40,60	0.0,3,40,60	6.0,3,40,60	6.0,3,40,60	15.0,3,40,60	27.0,3,40,60	32.0,3,40,60	46.0,3,40,60	14.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
22.0,3,40,60	18.0,3,40,60	23.0,3,40,60	22.0,3,40,60	19.0,3,40,60	22.0,3,40,60	16.0,3,40,60	15.0,3,40,60	9.0,3,40,60	18.0,3,40,60	12.0,3,40,60	17.0,3,40,60	36.0,3,40,60	25.0,3,40,60	25.0,3,40,60	23.0,3,40,60	24.0,3,40,60	27.0,3,40,60	44.0,3,40,60	30.0,3,40,60	38.0,3,40,60	45.0,3,40,60	62.0,3,40,60	66.0,3,40,60	71.0,3,40,60	63.0,3,40,60	44.0,3,40,60	35.0,3,40,60	22.0,3,40,60	8.0,3,40,60	10.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	3.0,3,40,60	8.0,3,40,60	13.0,3,40,60	29.0,3,40,60	41.0,3,40,60	18.0,3,40,60	40.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
40.0,3,40,60	22.0,3,40,60	25.0,3,40,60	31.0,3,40,60	41.0,3,40,60	24.0,3,40,60	30.0,3,40,60	31.0,3,40,60	12.0,3,40,60	35.0,3,40,60	37.0,3,40,60	5.0,3,40,60	24.0,3,40,60	42.0,3,40,60	32.0,3,40,60	52.0,3,40,60	52.0,3,40,60	6.0,3,40,60	40.0,3,40,60	30.0,3,40,60	28.0,3,40,60	40.0,3,40,60	29.0,3,40,60	45.0,3,40,60	62.0,3,40,60	50.0,3,40,60	53.0,3,40,60	22.0,3,40,60	9.0,3,40,60	-1.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	2.0,3,40,60	5.0,3,40,60	22.0,3,40,60	21.0,3,40,60	42.0,3,40,60	31.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
35.0,3,40,60	19.0,3,40,60	30.0,3,40,60	40.0,3,40,60	54.0,3,40,60	21.0,3,40,60	52.0,3,40,60	51.0,3,40,60	55.0,3,40,60	48.0,3,40,60	57.0,3,40,60	26.0,3,40,60	10.0,3,40,60	7.0,3,40,60	44.0,3,40,60	62.0,3,40,60	4.0,3,40,60	46.0,3,40,60	19.0,3,40,60	26.0,3,40,60	29.0,3,40,60	26.0,3,40,60	17.0,3,40,60	10.0,3,40,60	47.0,3,40,60	35.0,3,40,60	6.0,3,40,60	17.0,3,40,60	17.0,3,40,60	6.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	5.0,3,40,60	0.0,3,40,60	20.0,3,40,60	42.0,3,40,60	32.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60	0.0,3,40,60
